id;imdb_id;title;original_title;overview;vote_average;vote_count;popularity;revenue;budget
10799;tt0402158;Empire of the Wolves;L'Empire des loups;"When the young detective Paul Nerteaux finds the third slashed female corpse of illegal Turkish immigrants, he decides to ask for support to the experienced dark retired detective Jean-Louis Schiffer to chase the serial killer. Together, they infiltrate in the Turkish mafia trying to find the answer to the crimes. Meanwhile, the worker Anna Heymes is being submitted to a brain treatment and has severe headaches and glimpses of memories and visions. When these two parallel events collide, disclose that the Turkish organization ""The Wolves"" is behind them.";5.8;205;9.899;11875866;24000000
3134;tt0249380;Baise-moi;Baise-moi;Manu has lived a difficult life. Abused and violently raped, she sets off to find herself only to meet Nadine, a prostitute who has encountered one too many injustices in the world. Angry at the world, they embark on a twisted, rage-filled road trip. They choose to have sex when they please and kill when they need. Leaving a trail of mischief and dead bodies in their wake. Generating a media blitz and manhunt, soon everyone is out to capture the young fugitives.;4.3;226;9.891;940944;0
139651;tt2094877;Haute Cuisine;Les saveurs du Palais;The story of Danièle Delpeuch and how she was appointed as the private chef for François Mitterrand.;6.3;186;9.867;11384015;0
26629;tt1345507;RTT;RTT;When Florence, his companion of five years, shocks him with the news that she's leaving him, moving to Miami and marrying another man, Arthur loses it.  He follows Florence to all the way to Florida with plans to stop the wedding, which is set to take place in just a few days.  Along the way, he crosses paths with Emilie, who is also heading to Miami, but unlike Arthur, is wanted by the police.  As a result, Arthur gets stuck on an adventure he definitely never expected.;4.8;181;9.863;0;0
25518;tt0115650;Beautiful Green;La belle verte;As part of an intergalactic coalition, a well-meaning space alien volunteers to bring a message of self-actualization and harmony with nature to the one planet rejected by all her peers as incorrigible: Earth.;7.2;121;9.845;0;0
51447;tt1521848;Trophy Wife;Potiche;A housewife takes over her husband's umbrella business after his illness.;6.2;248;9.836;1611000;0
544510;tt7201846;Cyrano, My Love;Edmond;Paris, France, December 1897. The young playwright Edmond Rostand feels like a failure. Inspiration has abandoned him. Married and father of two children, desperate and penniless, he persuades the great actor Constant Coquelin to perform the main role in his new play. But there is a problem: Coquelin wants to premiere it at Christmas and Edmond has not written a single word.;7.7;328;9.834;0;0
10484;tt0085354;The ComDads;Les compères;Unable to find her runaway son, a woman deceives two of her ex-lovers from her youth, a mild-mannered teacher and a tough journalist, that each is the real father in order to obtain their help.;6.5;254;9.827;0;0
31203;tt1264904;Little Nicholas;Le Petit Nicolas;Nicolas has a happy existence, parents who love him, a great group of friends with whom he has great fun, and all he wants is that nothing changes. However, one day, he overhears a conversation that leads him to believe that his life might change forever, his mother is pregnant! He panics and envisions the worst.;6.0;851;9.819;0;0
10572;tt0307156;Michel Vaillant;Michel Vaillant;Michel Vaillant is # 1 of pilots, undisputed champion in rallying in all circuits in the world. His success arouses admiration and envy. Ruth Wong, director of Team Leader, is determined to break his streak and avenge the memory of his father, founder of Leader. She is capable of anything to achieve her goal.;5.4;116;9.814;0;22900000
21348;tt0181627;Kirikou and the Sorceress;Kirikou et la sorcière;Drawn from elements of West African folk tales, it depicts how a newborn boy, Kirikou, saves his village from the evil witch Karaba.;7.3;825;9.807;0;4495000
